input,output
"Kere io kumpra para pasteles para ara na paskua para kome el dmio familia na bente cuatro del decembre , kere io el desenio del paskua","Hola cliente.

Gracias na dituyu ordena pastiles de Christmas. Ta prepara kame pastiles de Christmas con otro-otro klase disenyo. Pabor bisita kunel diamon tienda y chekya el disenyo na website antes desidi. Si nohay kame disenyo kere tu, hase kame otro para lang contigo.
"
"na petsa katorse del fubuero , kere io kumpra kenel pasteles para na dmio nobya, kere io komo corazon el pasteles","Hola cliente.

Alegre kame kay diamun pasteles posible keda parte con el dituyu amor na dituyu nobya. Puede tu ordena pormay corazon de tsokolate pastiles. Si tiene tu kosa quiere disenyo o palabra pone, pabor tu manda sabe conamon.

Gracias

[Nombre de tienda] Suenyo
"
"Kere io kumpra kunel pasteles para na fiesta del loa almas na ika trenta uno del octobre , kere io komo utsura buruhu y alma"," Hola cliente.

Gracias na dituyu orden pastiles para na Halloween party! Ta prepara kame pastiles de Halloween con otro-otro klase disenyo, con calabasa y fantamas. Pabor bisita kunel diamon tienda y chekya el disenyo na website antes desidi. Si nohay kame disenyo kere tu, hase kame otro para lang contigo.

Gracias

[Nombre de tienda] Suenyo
"
"Kere io kumpra kunel pasteles para dale na dmio mga parentes para na dia del parentes na ika otso del Mayo, kere io kunel pasteles komo carnation el decoration.","Hola cliente.

Alegre kame kay ya puede kame ase hatud pastiles para na dia del dituyu parentes. Decoraw klase de pastiles el puede tu ordena. Si tiene tu otro disenyo o palabra quiere pone, pabor tu manda sabe conamon.

Gracias

[Nombre de tienda] Suenyo"
"Kere io man order kunel pasteles para dale na mio maestra para na dia del maestra na petsa kinse del Mayo, kere io kunel pastelles na chene mensaje ""Tahnk you"" scribido","Hola cliente.

Era el diamon gratitud para na diamon maestra ay pwede dale con pastiles. Puede tu ordena pastiles con mensahe 'Gracias'. Pabor tu manda sabe conamon ti tiene pa tu otro disenyo o palabra quiere manda pone.

Gracias

[Nombre de tienda] Suenyo
"
"hola

kere io sabe kunel proceso del kumprada kunel pastelles del compli anio para na petsa dose del octobre, 


Chocolate Klase del pasteles ,
Size del numer uno,
Disenio komo strawberry ariba pati chocolate blanco , el mga mensaje ""to my dear son happy birthday"",

Sakada pati hora, Petsa dose del octobre ora alastres del tarde,

is pwede sabe kwato el pago en si Kwando saka,

Gracias 
Dream Minji Kim","Hola, Minji Kim.

Gracias na dituyu pregunta y orden para na un pastiles de compleaño na Octubre dose.

Numero dos blanco tsokolate de pastiles y tiene disenyo de strawberry, con mensahe ""Para na dimio hijo, feliz compleaño!"", puede saka na alas tres de tarde na Octubre dose. 

Puede este ordena con el pastiles na presyo de 45,000 won.

Si tiene pa tu pregunta, pabor llama conamon.

Gracias

[Nombre de tienda] Suenyo
"
"Hola 

kere io kumpra kunel un buen clase del pastelles para na ika dyes aniversario del d amun kasar na petsa bente singko del noviembre


el concepto komo romantiko y eleganto unsando kunel colores pastelo pato maga fauna 

Sigi lng el kosa ya dale detalyes na papel y maga descripcion komo dos tier y como corazon el itsura,

chene mensaje ""Happy 10th anniversary, i love you"",

Sakada y hora del bente singko del novembre ora ala una del tarde

,kere io sabe si pwede dale designio personal , si pwede.

Gracias

Park ji-hye's dream","Jihye Park, hola.

Gracias na dituyu pregunta na pastiles para na anibersayo del dituyu casamiento na Nobyembre beynte sinco.

Na imahe y deskripsyon, puede tu hase romantico y elegante dos tier de pastiles. El grandor kasy na quatro hasta sais de hente, con mensahe ""Feliz ika-dies anibersayo de casamiento, i love you"", puede tu saka ala una de tarde na Nobyembre beynte sinco.

El estimada presyo de 120,000 won, y liga tres hasta quatro diya el produksyon.

Hase kame el todo para hase espesyal dituyu dia.

Gracias

[Nombre de tienda] Suenyo
"
"Hola


kere io kumpra kunel pasteles ora dayun para na petsa otso del decembre,


itsura del pasteles, Whipped Cream cake,
size numero uno,
el disenyo simple lng nuay kosa ariba,

en mensaje ""Congratulations"",

ora del sakada na petsa sais del septembre alas sais del notche,

elegre kame is pwede ase urgente kunel kumprada , si pwede, el ora del sakada en el precio

Thank you


Lee soo-hyun dream","Hola, Suhyun Lee.

Gracias na dituyu pregunta para na orden de pastiles para na tarde del Septyembre otso.

Urgente este orden, pero puede tu saka na alas sais de tarde pa del Setyembre otso.

Prepara kame el una whipped cream pastiles, un simple disenyo, con palabra ""Enhorabuena!""

25,000 won el presyo.

Ta intende kame kay quiere tu saka dayun, pero prepara kame dayun para keda posible.

Gracias

[Nombre de tienda] Suenyo"
"Hola

kere io kumpra kenel pastelles para na visperas del Christmas na petsa benete quatro el decembre, pero kere io sabe para na mio raskina,

raskina: mani,
itsura del pastelles, Chocolate o cream cake,
el design komo Christmas el thema chene maga santa , puno del pine y otro decorations

Mensaje ""Merry christmas""

el ora del sakada , petsa bente quatro del decembre ora del alas onse del aga

kere io sabe si pwede ase kunel pastelles nuay usando ingridiente kontra raskina, si pwede, 


Gracias

Choi Young-soo's dream","Hola Youngsoo choi


Gracias na pregusntada relatado kunel kumprada na pastelles para na bisperas del paskua na petsa bente quatro del decembre


Pwede kame ase pastelles chocolate or whipped cream y nuay kosa usa konta na raskina

size tres komo designio del chirstmas cehen mensaje ""Merry Christmas"" pati pwede saka na alas onse del aga na petsa bente quatro del decembre

pwede ase personal y nuay maga mani na ingredient , el precio del chocolate 55,000 won el whipped cream 50,000 won


ase kame el todo para keda tu alegre na paskua nuay kosa balabag na raskina

Gracias

Dream"
"Holla

Kere io kumpra un pastelles para na d amun kasar na petsa kinse del septembre, kere io sabe si pwede ase komo igual na imagje?

Photo ,3 tiere wedding phphp  chene wthite creame pati decorado del maga flores

size numero singko
mensaje ""just married""
ora del sakada na petsa kinse del septembre alas nueve del aga,


kere io  sabe si pwede ase komo igual ya dale photo desl designio,


Gracias

jeong Eun-ah dream","Hola, Eunah Jeong.

Graciaas na dituyu pregunta para na orden de pastiles de casamiento na Setyambre kinse.

Puede kame hase grandor de sinco pastiles de casamiento sigindo el disenyo na imahe.

""Just Married!"" el mensahe, puede saka na alas nueba de aga na Setyembre kinse. 

El estimada presyo de 200,000 won.

Hase kame espesyal el dituyu dia con bale pastiles de casamiento.

Gracias

[Nombre de tienda] Suenyo
"
