input,output
"Saludos! Estoy organizando una pequeña reunion y quiero usa sus cestas tejidas como decoracion. Puede recomienda ustedes tamaños adecuados para contener flores? Necesito alrededor de 30 piezas. Por favor, incluya tambien los precios. Gracias!","Estimado cliente,

Gracias por contactarnos! Para flores, recomienda nosotros cestas de tamaño mediano. Tiene nosotros varias diseños disponibles, y comparte yo imagenes y detalles de precios pronto. Por favor, informa si tiene ustedes algun tema especifico en mente.

Un cordial saludo,
Zambo Artesanía"
"Hola! Recientemente vi sus productos en una feria local y me encantaron los individuales tejidos. Tiene ustedes disponibles para compra inmediata? Quiero pedir un set de 12. Tambien, cuales son las instrucciones de cuidado? Gracias!","Estimado cliente,

Gracias por su mensaje! Si, tiene nosotros individuales tejidos en stock. Un set de 12 cuesta [precio]. Son faciles de mantener—simplemente limpia con un paño humedo. Informa nosotros cuantos sets quiere, y procesa nosotros su pedido inmediatamente.

Sinceramente,
Zambo Artesanía"
"Estimado Señor/Señora, Quiero compra un adorno de pared grande tejido para mi casa. Puede manda ustedes imagenes de los diseños disponibles junto con las dimensiones y precios? Gracias!","Estimado cliente,

Estamos contentos que este interesado en nuestros adornos de pared tejidos! Manda yo fotos de piezas disponibles junto con dimensiones y precios. Estos articulos unicos son perfectos para decoracion del hogar. Informa nosotros sus preferencias.

Gracias! 

Atentamente, 
Zambo Artesanía"
Buen dia! Estoy buscando souvenirs unicos para mi boda proxima. Tiene ustedes Artesanías nativas pequeñas que puedan sirve como giveaways? Necesito 100 piezas. Puede manda ustedes recomendaciones? Gracias!,"Estimado cliente,

Gracias por considerar nuestros productos para su boda! Tiene nosotros varias Artesanías pequeñas, incluyendo llaveros y mini cestas. Manda yo opciones junto con detalles de precios. Nos encantaria ser parte de su dia especial!

Sinceramente,
Zambo Artesanía"
"Hola! Estoy interesado en sus abanicos pintados a mano. Puede ustedes crea diseños personalizados con el logo de nuestra compañia? Si si, cual es la cantidad minima de pedido y el precio? Gracias!","Estimado cliente,

Gracias por su consulta! Puede nosotros crea abanicos pintados a mano personalizados con el logo de su compañia. La cantidad minima de pedido es 30 piezas. Los precios dependen de la complejidad del diseño, y manda yo mas detalles por correo.

Suyo fielmente,
Zambo Artesanía"
"Hola! Quiero pide sus bolsas tejidas para uso personal. Puede informa ustedes mas sobre los materiales utilizados y si son amigables con el medio ambiente? Tambien, hay disponible un tamaño mas pequeño? Gracias!","Estimado cliente,

Gracias por su interes! Nuestras bolsas tejidas estan hechas de materiales amigables con el medio ambiente como ratan natural y abaca. Hay tamaños mas pequeños disponibles, y manda yo opciones para que puede escoge. Por favor, avisa si tiene preguntas adicionales.

Sinceramente, 
Zambo Artesanía"
Saludos! Soy dueño de una tienda de regalos local y quiero revende sus Malongs y carteras. Puede manda ustedes precios por mayoreo y cantidades minimas de pedido? Gracias!,"Estimado cliente,

Gracias por contactarnos! Ofrece nosotros precios por mayoreo para Malongs y carteras. La cantidad minima de pedido es 20 piezas por articulo. Manda yo una lista de precios y detalles sobre como proceder. Espero trabajar con ustedes!

Un cordial saludo,
Zambo Artesanía"
"Estimado Equipo de Artesanías, Escuche muchas cosas buenas sobre sus productos y estoy interesado en las cestas tejidas para mi tienda online. Puede ustedes manda ordenes a Manila, y cuanto es el costo de envio? Gracias!","Estimado cliente,

Estamos encantados de que quiera revender nuestros productos! Si, manda nosotros ordenes a Manila, y los costos de envio varian segun peso y volumen. Proporciona yo una cotizacion detallada junto con nuestro catalogo por mayoreo. Gracias por su apoyo!

Gracias!

Atentamente,
Zambo Artesanía"
"Hola, quiero ya recoge el mio orden. Donde esta localizado el suyo branch? Gracias!","Estimado cliente,

Muchas gracias por su consulta.

Aunque el nuestro operaciones esta 90% online para vende todo el pais,
abajo esta el lista de los locales branch donde ustedes puede visita con nosotros:

- Governor Camins Avenue: Cerca del KCC Mall de Zamboanga
- La Purisima Street: Junto con el SM City Mindpro
- Paseo del Mar: Dentro del complejo Paseo del Mar
- Canelar Moret: Por la Canelar Moret Street, cerca del Universidad de Zamboanga
- Tetuan Highway: Cerca del CityMall Tetuan

Abajo esta el nuestro horario de oficina:
Lunes - Jueves: 8am - 5pm
Viernes - Sabado: 8am - 7pm

Estamos cerrado durante Domingos y Dias Nacionales de Fiesta.

Atentamente,
Zambo Artesanía"
"Buenas Zambo Artesanía, 

 Yo si Teresa Delgado, y ta busca yo un decoracion para mi casa. Tiene ustedes espejos decorativos o colgantes de pared con diseños tradicionales de Zamboanga? Ta interesa yo mira sus opciones! 

 Gracias! 

 Sinceramente, 
 Teresa Delgado","Buenas Teresa Delgado, 

 Estamos emocionados por ayudarle decorar su casa! Tiene kami espejos decorativos hechos a mano con diseños tradicionales (PHP 3,000 cada uno) y colgantes de pared (PHP 2,000 cada uno). Ya añadi fotos de nuestras piezas disponibles para su referencia. Avisa si quiere ustedes proceder con un pedido. 

 Sinceramente, 
 Zambo Artesanía"
