chavacano,type,english
bula,noun,bubble
bulador,noun,kite
bulao,adjective,lost in mind or out of one’s mind
bulinao,noun,a very small variety of fish
buling,noun,dirt
buncao,adjective,"destroyed, devastated, torn down, wrecked, demolished, ruined"
bungul,adjective,deaf
busca,verb,"to find, to search, to seek"
buta,verb,to throw
buukan,noun,a place filled with trees
caballero,noun,"a person who takes care horses, a horse rider, gentleman, knight"
cabeza,noun,head
cabrito,noun,goat
cacao,noun,"a fruit used to make chocolate or cocoa, cocoa"
cada,adjective,"every, each"
cadena,noun,chain
cadenita,noun,necklace
cadera,noun,hip or hips
cae,conjunction,"because, since, considering, inasmuch"
cae,verb,to fall
cafe,noun,coffee
caga,verb,"to defecate, to poop"
cagon,adjective,one who defecates frequently
cajon,noun,box
calabaza,noun,"squash, pumpkin, gourd"
calamidad,noun,calamity
calavera,noun,skeleton
calawang,adjective,"rusted, corroded, tarnished"
calayat,adjective,things are left scattered
calayat,verb,to scatter or spread out
caldero,noun,metal pot
caldo,noun,soup or stew
calenta,verb,to heat or warm
calentura,noun,fever
calidad,noun,quality
caliente,adjective,"hot, warm"
calla,verb,to shut up
callao,adjective,"quiet, one is not talking"
calle,noun,"road, street"
calma,verb,to calm down
calmao,adjective,"calmed, relaxed"
calor,noun,"fever, heat, warmth"
cama,noun,bed
cambal,noun,twin
cambia,verb,"to change, replace, modify, transform, reform"
cambiao,adjective,"changed, replaced, transformed, modified, reformed"
cambio,noun,"change, replacement, transformation, modification, reformation"
camello,noun,camel
camina,verb,"to walk, to go to somewhere"
caminando,verb,walking
caminando,adverb,by means of walking
camino,noun,"way, road, street"
camisa,noun,"shirt, cloth, blouse, polo shirt"
canal,noun,a narrow water passage or stream
canalla,adjective,"stingy, selfish, closefisted"
cancion,noun,"music, song"
canda,preposition,"of, from"
canta,verb,to sing
cantidad,noun,quantity
capitan,noun,captain
cara,noun,face
caratula,noun,"board, billboard, signage"
carga,verb,"to carry, lift"
cargamiento,noun,things or things to be carried or lift up
cargando,verb,lifting
cargo,noun,"things, products"
carnal,adjective,"carnal, of relating to flesh"
carne,noun,meat
caro,adjective,"expensive, pricey, costly"
caro,noun,push cart
carpintero,noun,carpenter
carta,noun,letter or correspondence
casa,noun,"house, home"
casa,verb,"to marry, to give in"
casamiento,noun,wedding
casao,adjective,"married, a gun prepared to shoot"
caso,noun,"case, complain, issue, proportion"
castiga,verb,"to punish, castigate"
castigao,adjective,"punished, castigated"
castigo,noun,punishment
causa,noun,"cause, reason, motive"
causa,verb,to be the reason
cay,conjunction,"because, since, considering, inasmuch"
cay,verb,to fall
cejas,noun,eyebrow
celebra,verb,to celebrate
celebracion,noun,celebration
celeste,noun,sky
celestial,adjective,"celestial, heavenly"
celos,noun,jealousy
celoso,adjective,jealous
cementerio,noun,cemetery
cementeryo,noun,cemetery
cen,noun,money
cena,noun,dinner
cena,verb,to dine
cencillo,noun,coins
ceniza,noun,ash
centra,verb,"to aim, to place something in the middle"
centro,noun,center
cerca,adverb,near
ceremonia,noun,ceremony
cerra,verb,to close
chamba,noun,luck
character,noun,character
chico,noun,"boy, young man"
chismis,noun,gossip
chismis,verb,to gossip
chocolate,noun,chocolate
chonggo,noun,monkey
cielo,noun,sky
ciencia,noun,science
cine,noun,movie theater
cintura,noun,"waist, waistline"
cinturon,noun,belt
cirujano,noun,surgeon
ciudad,noun,city
civil,noun,civil
civilasao,adjective,civilized
claridad,noun,clarity
claro,adjective,clear
clase,noun,class
clavao,adjective,nailed
clavetia,verb,to nail
clavo,noun,nail
clavo-clavo,noun,"peperomia pellucida, a small plant with heart-shaped, fleshy and shiny leaves"
cobra,verb,to collect money
coche,noun,car
cochina,adjective,a female person who is disgusting
cochinadas,adjective,"disgusting, dirty, unpleasant"
cochino,adjective,a male person who is disgusting
cocina,verb,to cook rice
cocoracha,noun,cockroach
codo,noun,elbow
coji,verb,to catch
colebra,noun,snake
colector,noun,collector
color,noun,color
colorao,adjective,red
comandante,noun,commandant
comete,verb,"to commit, make, do, act"
comida,noun,food
comigo,pronoun,me
como,preposition,like
compara,verb,to compare
competi,verb,to compete
competicion,noun,competition
complea,verb,to comply
completa,verb,to complete
completamente,adverb,completely
completo,adjective,complete
compra,verb,to buy
compra,noun,bought things or goods
computeran,noun,internet cafe
con,preposition,with
con hambre,adjective,hungry
conciencia,noun,conscience
condena,verb,to condemn
condenao,adjective,condemned
condicion,noun,condition
condolencia,noun,condolence
coneccion,noun,connection
conejo,noun,rabbit
conele,pronoun,him/her
confesa,verb,"to confess, to tell the truth, to speak up"
confia,verb,"to trust, to put one’s confidence to someone"
confianza,noun,"trust, confidence"
confirmacion,noun,confirmation
conforma,verb,"to conform, agree"
conformacion,noun,conformation
conforme,adjective,"conformed, agreed"
conoce,verb,"to know, recognize, familiarize"
conosihan,verb,to know each other
consejo,noun,council
consequia,adjective,thirsty
considera,verb,to consider
consinti,verb,"to contain, consist, to tolerate"
consola,noun,console
construccion,noun,construction
consueño,adjective,sleepy
consulta,verb,"to consult, to seek for an advice"
conta,verb,to count
contene,verb,"to contain, consist"
contento,adjective,contended
contesta,verb,"to answer, respond, reply"
contestacion,noun,"answer, response, reply"
contigo,pronoun,"with you, to you"
continua,verb,"to continue, pursue"
continualmente,adverb,"continually, continuously"
contra,preposition,"against, contra, opposite, versus"
contrallo,noun,"enemy, foe"
contratajan,verb,to go or stand against
contribucion,noun,contribution
contribui,verb,to contribute
controla,verb,to control
controlao,adjective,controlled
convence,verb,"to convince, persuade, influence"
convencido,adjective,"convinced, persuaded, influenced"
convencion,noun,"convention, gathering, conference"
convensido,adjective,"convinced, persuaded, influenced"
conversa,verb,"to speak, converse, talk"
conversacion,noun,"conversation, talk"
conversada,noun,"talk, talking, speaking, conversing"
converti,verb,"to convert, transform, change"
convertido,adjective,"converted, transformed, changed"
copia,verb,"to copy, imitate, impersonate"
corazon,noun,heart
corona,noun,crown
corre,adjective,fast
corre,verb,to run
corridor,noun,runner
corta,verb,"to cut off, strike, ax, slice, chop, trim"
cortador,noun,cutter
corte,noun,court
cortina,noun,curtain
corto,adjective,"short, brief, scant"
cosa,pronoun,"what, which"
cosa,noun,thing
cosas,noun,things
cosina,verb,to cook rice
cosina,noun,"kitchen, cuisine"
costao,noun,side
costumbre,noun,"character, custom, attitude, temperament"
cre,verb,to believe
crea,verb,"to create, make, establish, invent"
creacion,noun,creation
creador,noun,believer
credito,noun,credit
crici,verb,to grow up
cricida,noun,growth
crimen,noun,crime
criminal,noun,criminal
cristiano,noun,christian
cristo,noun,christ
critica,noun,"critique, review"
critical,adjective,critical
crucifica,verb,to crucify
crucificao,adjective,crucified
crucificcion,noun,crucifixion
cruz,noun,cross
cuaderno,noun,notebook
cuando,adverb,when
cuando,conjunction,when
cuanto,adjective,"how much, how many"
cuarto,noun,"room, hall"
cubardon,adjective,"coward, fearful"
cubri,verb,"to protect, hide, cover, fill"
cuchara,noun,spoon
cuchara,noun,poon
cuchina,adjective,a female person who is disgusting
cuchinadas,adjective,"disgusting, dirty, unpleasant"
cuchino,adjective,a male person who is disgusting
cucho,noun,whisper
cucho-cucho,verb,whispering
cuento,noun,story
cuento,verb,to tell a story
cuero,noun,leather
cuero,adjective,uncircumcised
cuerpo,noun,body
cueva,noun,cave
cuga,adjective,"hanged with rope, arm, hand or anything around the neck"
cuida,verb,to take care
cuidao,adjective,taken cared
cuidao,interjection,you take care
cuji,verb,to catch
culebra,noun,snake
culpa,noun,"fault, sin, blame, guilt"
culpable,adjective,culpable
cultiva,verb,to cultivate
cultivao,adjective,cultivated
cumpleaño,verb,birthday
cupal,noun,smegma
cura,verb,"to cure, treat, heal"
curada,noun,"cure, treatment, healing"
curso,noun,"course, way, track, path"
cusi,adjective,to cook
cusina,verb,to cook rice
cusina,noun,"kitchen, cuisine"
daan,adjective,"old, something is established, built up, or existing before"
dalaga,adjective,"adolescent, teen, teenager"
dalagita,noun,female teen or teenager
dalasucan,adjective,compressed
dale,verb,"to give, hand over"
damas,noun,ladies
daw,interjection,an expression of uncertainty
dayun,adverb,"immediately, right away"
de,preposition,"of, from"
de edad,adjective,"aged, old"
debe,noun,debt
debe,verb,"need, should, must"
deberasan,noun,"truth, fact"
decano,noun,dean
decendencia,noun,descendance
decendiente,noun,descendant
decidi,verb,to decide
decidido,adjective,decided
declara,verb,"to declare, pronounce"
declaracion,noun,declaration
decoracion,noun,decoration
dedica,verb,"to dedicate, offer"
dedicao,adjective,dedicated
dedo,noun,finger
defectivo,adjective,"defective, blemished, damaged, deficient"
defecto,noun,"defect, blemish, damage, deficiency"
defende,verb,"to defend, back up, protect"
defensa,noun,defense
deja,verb,"to leave, leave off, give up, forsake, quit, stop, abandon, let, discontinue"
dejalo,verb,"to leave, leave off, give up, forsake, quit, stop, abandon, let, discontinue"
dejao,adjective,"left, left behind, forsaken, abandoned"
del,preposition,"of, from"
deleitosa,adjective,"pleasurable, lovely, delightful"
delicioso,adjective,"delicious, yummy"
deluvio,noun,big calamity
demanda,noun,demand
demanda,verb,to file a case against someone
demonio,noun,devil
demostra,verb,"to demonstrate, to show or present"
demostracion,noun,demonstration
demostrativo,adjective,demonstrative
denoche,noun,"evening, night"
dentro,preposition,"in, inside"
depende,verb,to depend
deportacion,noun,deportation
deposito,noun,deposit
deprecia,verb,"to depreciate, devalue, devaluate"
depreciacion,noun,depreciation
depreciao,adjective,depreciated
derecha,noun,right
derecha,adjective,right
derecho,adjective,"straight, straightforward, direct, right"
derepente,adverb,suddenly
derrama,verb,to spill out
derreti,verb,to melt
derretido,adjective,melted
desaparece,verb,"to fade out, clear off, die out, vanish, disappear, go"
desata,verb,"to untie, unfasten, loose, detach, unbind"
descansa,verb,to rest
descanso,noun,rest
desconoce,verb,"to ignore, disown"
desconocido,adjective,"unknown, unfamiliar"
descuento,noun,discount
desde,preposition,"of, from"
desembarca,verb,to disembark
deseo,noun,"desire, like"
desesperao,adjective,"desperate, eager"
desierto,noun,desert
desmaya,verb,"to dismay, disappoint"
desobedece,verb,to disobey
desobediencia,noun,disobedience
desobediente,adjective,disobedient
desperta,verb,"to wake up, arise, revive"
desperto,adjective,awake
despierto,adjective,"awake, awoke, wakeful, not sleeping"
despues,preposition,after
despues,adverb,"later, afterward"
destorba,verb,to disturb
destrosa,verb,"to destroy, crush, damage, wreck, demolish, smash, ruin, overthrow"
destrosao,adjective,"destroyed, crushed, damaged, wrecked, demolished, ruined, overthrown"
destroso,noun,"destroyer, wrecker"
destruccion,noun,"destruction, wreck"
determina,verb,"to determine, identify"
detras,preposition,"behind, at the back"
detras,noun,back
deveras,adjective,"true, factual"
deverasan,noun,"truth, fact"
devolve,noun,"to return, take back, pay back, put back, hand back, replace, repay"
devoto,noun,devotee
di,preposition,of
dia,noun,day
diamon,pronoun,our (exclusive)
diamun,pronoun,our (exclusive)
diaton,pronoun,our (inclusive)
diciplina,verb,to discipline
diciplina,noun,discipline
dicipulo,noun,"disciple, follower"
dicta,verb,to dictate
diente,noun,"tooth, teeth"
diferencia (1),noun,"difference, variance, distinctness, contrast, discrepancy"
diferente,adjective,"different, various, varied"
dificil,adjective,"difficult, hard, tough, tricky, stiff"
dificultad,noun,"difficulty, trouble, hitch"
diila,pronoun,"their, theirs"
dimio,pronoun,"my, mine"
dinigrido,noun,"black spot, usually on the skin or external part of the body"
dios,noun,"god, lord, master"
directa,adjective,"direct, straight"
directiva,noun,"directive, guideline"
director,noun,"director, head, leader, principal, manager, supervisor"
dirriti,verb,to melt
dirritido,adjective,melted
disbruna,verb,"to crash, to smash, to damage"
discubri,verb,"to discover, to find out, to investigate"
disculpa,verb,"to excuse, forgive"
discurso,noun,"discourse, speech, utterance, address"
discusion,noun,"discussion, argument, debate"
discuti,verb,"to discuss, debate, contest, argue, talk over, talk out"
discutijan,verb,"to discuss, debate, contest, argue, talk over, talk out"
disperta,verb,"to wake up, arise, revive"
dispidi,verb,"to die, pass away"
dispierto,adjective,awake
distancia,noun,distance
distinguido,adjective,distinguished
distorba,verb,to disturb
distorbao,adjective,disturbed
distorbo,noun,disturbance
distribui,verb,"to distribute, allocate, dispense, give out, share"
disuyo,pronoun,"his, her, hers"
dituyo,pronoun,"your, yours"
diutay,adjective,"small, short, undersized, little, cute"
dividido,adjective,"divided, shared, split"
division,noun,"division, share, proportion"
doble,adjective,double
dol,preposition,"like, similar, typical"
dolencia,noun,"pain, ache, discomfort, distress, agony, anguish, harm, hurt"
dolor,noun,"pain, ache, discomfort, distress, agony, anguish, harm, hurt"
dolorido,adjective,"in pain, ached, discomforted, anguished, hurt, harmed"
donde,adverb,"where, at or in what place"
drento,preposition,"in, inside, within"
duda,noun,"doubt, distrust, suspicion, uncertainty, mistrust"
duda,verb,"to doubt, to suspect, to be uncertain"
duele,adjective,"painful, ached, discomforted, anguished, hurt, harmed"
duelo,noun,timing
dulce,adjective,sweet
dura,adjective,slow
dura,verb,"to be slow, to delay"
durante,adverb,"during, at that time"
durmi,verb,to sleep
durmido,adjective,"sleeping, asleep"
duro,adjective,"hard, firm, hardened, callous, heartless, inhuman, stony-hearted"
duyan,noun,cradle
eco,noun,echo
edad,noun,age
edificio,noun,"building, establishment"
educa,verb,to educate
educacion,noun,education
educao,adjective,educated
educativo,adjective,educational
efectivo,adjective,effective
eficiente,adjective,efficient
ejemplo,noun,"example, sample"
ejercicio,noun,"exercise, test"
eksacto,adjective,"exact, enough, accurate, precise, proper"
eksamen,verb,to examine
eksepto,preposition,except
el,article,the
elabora,verb,"to elaborate, to expound"
elaboracion,noun,elaboration
ele,pronoun,"he, she, him, her"
eleccion,noun,election
electrico,adjective,electric
elegante,adjective,"elegant, classy, majestic"
elemento,noun,"element, component"
elepante,noun,elephant
embajada,noun,embassy
embajador,noun,ambassador
embalsama,verb,to embalm
embarca,verb,"to embark, ride, to go on board"
embusterias,noun,"lies, foolishness"
embustero,adjective,"liar, untrue"
emocion,noun,emotion
emocional,adjective,emotional
emperador,noun,emperor
empeza,verb,"to begin, to give"
empirico,adjective,empirical
enamora,verb,"to court, to love"
enante,adverb,"earlier, a while ago"
enantes,adverb,"earlier, a while ago"
enbuenamente,adverb,well
encabeza,verb,"to head, to lead"
encadena,verb,to chain
encadena,adjective,chained
encanta,verb,"to enchant, to tempt"
encantao,adjective,"enchanted, tempted"
encarga,verb,to entrust
encargao,adjective,entrusted
encima,preposition,"atop, on top, on, above, over"
encontra,verb,"to meet, to encounter, to find"
encuentro,noun,"encounter, meeting"
endenantes,adverb,"earlier, a while ago"
enfatico,adjective,emphatic
enfermedad,noun,"sickness, disease, illness"
enfermo,adjective,sick
enfrente,preposition,in front
engranda,verb,to raise
engrandao,adjective,raised
engrande,adjective,"big, great"
enorme,adjective,"enormous, big, huge"
enseguida,adverb,"immediately, right away"
enseña,verb,"to teach, coach, guide, show"
ensucia,verb,"to poop, to defecate"
entacto,verb,enactment
entende,verb,to understand
entendimiento,noun,understanding
entero,adjective,whole
enterra,verb,to burry
entierro,noun,"interment, entombment, funeral."
entonces,adverb,"then, so"
entra,verb,"to enter, to get inside"
entrada,noun,entrance
entrega,verb,"to hand in, to hand over"
entregao,adjective,"handed in, handed over"
entremedio,preposition,in the middle or center
entretenido,adjective,entertaining
entrevista,noun,"talk, interview, conversation"
entusiasmo,adjective,enthusiasm
entusiasta,noun,enthusiast
envia,verb,to send
envidia,verb,to envy
envolve,verb,"to wrap, cover"
envuelto,adjective,"wrapped, covered"
equipo,noun,equipment
equivalente,noun,equivalent
error,noun,error
escalera,noun,"ladder, stairs"
escapa,verb,to escape
escapao,adjective,escaped
esclama,verb,to exclaim
escoje,verb,to choose
escojido,adjective,chosen
esconde,verb,"to hide, keep"
escondido,adjective,"hidden, kept"
escribi,verb,to write
escribido,adjective,written
escritura,noun,"script, writing"
escuela,noun,school
escupi,verb,to spit
escusa,verb,to excuse
ese,pronoun,that
esos,pronoun,those
espacio,noun,space
espacioso,adjective,spacious
espada,noun,sword
espanta,verb,"to terrify, horrify, scare, frighten, surprise"
espantao,adjective,"terrified, horrified, scared, frightened, surprised"
especial,adjective,special
especialista,noun,specialist
especialmente,adverb,"specially, especially"
espejo,noun,mirror
espera,verb,to wait
esperanza,noun,hope
espina,noun,spine
espinal,adjective,spinal
espiritu,noun,"spirit, soul"
espiritual,adjective,spiritual
espiritualidad,noun,spirituality
esplica,verb,to explain
esposa,noun,wife
esquema,noun,scheme
esquenita,noun,narrow way
esquina,noun,corner
esta,verb,"to stay, to live"
estaba,verb,"i came from, i had/have been from"
establecimiento,noun,establishment
estado,noun,"status, state"
estatal,noun,state
este,pronoun,this
estima,verb,to estimate
estimao,adjective,estimated
estomago,noun,stomach
estorba,verb,to disturb
estorbao,adjective,disturbed
estos,pronoun,these
estrangero,noun,stranger
estrella,noun,star
estrellas,noun,stars
estricto,adjective,strict
estudia,verb,"to study, to learn"
estudiante,noun,student
estupendo,adjective,"marvelous, stupendous"
eterna,noun,eternity
eternal,adjective,eternal
eternamente,adverb,eternally
etiqueta,noun,"etiquette, ethics"
evacua,verb,"to evacuate, to vacate"
evacuacion,noun,evacuation
evidencia,noun,evidence
evita,verb,"avoid, refrain"
evos,pronoun,you (very informal)
exacto,adjective,"exact, accurate, enough"
examen,verb,"to examine, search, test, investigate"
examen,noun,"test, search, investigation, examination"
examina,verb,"to examine, search, test, investigate"
examinacion,noun,"test, search, investigation, examination"
excepcion,noun,exception
excepto,preposition,"except, apart from, aside from"
exclama,verb,to exclaim
excusa,verb,to excuse
existi,verb,to exist
expensivo,adjective,"expensive, costly, pricey"
experiencia,verb,to experience
explica,verb,to explain
expresion,noun,expression
extende,verb,to extend
extraña,verb,"to doubt, to feel unusual thing about someone or something"
extranjero,noun,stranger
extravagante,adjective,extravagant
fabrica,noun,"fabric, factory"
fabuloso,adjective,fabulous
facha,verb,to kick
fachada,noun,kick
facil,adjective,easy
facilidad,noun,facility
facultad,noun,faculty
falda,noun,skirt
falla,verb,"to fail, breakdown, to function abnormally"
fallao,adjective,"abnormal, broken-down, failed"
falta,adjective,"lacking, short, deficit"
familia,noun,family
fantasia,noun,"fantasy, imagination"
fantastico,adjective,"fantastic, amazing"
